Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
2016-06-03,2016,6,3,Friday,22,2016-22,741.49,741.49,733.91,735.86,1230400,735.86,-0.011299708384040819,732.8314285714285,743.5948
2016-06-06,2016,6,6,Monday,23,2016-23,738.5,738.5,728.29,730.06,1499600,730.06,-0.007881917631650803,732.8142857142857,743.0992
2016-06-07,2016,6,7,Tuesday,23,2016-23,733.27,736.71,730.8,731.09,1215700,731.09,0.00141088307854087,733.592857142857,742.6554
2016-06-08,2016,6,8,Wednesday,23,2016-23,739.5,743.81,735.77,742.93,1615700,742.93,0.016194949165478256,735.1035714285715,742.1962
2016-06-09,2016,6,9,Thursday,23,2016-23,737.07,743.93,736.5,742.52,959000,742.52,-0.0005518328087074087,737.0471428571428,741.6798000000001
2016-06-10,2016,6,10,Friday,23,2016-23,735.95,739.64,730.51,733.19,1452500,733.19,-0.012565340791395485,737.8671428571428,741.0856
2016-06-13,2016,6,13,Monday,24,2016-24,729.82,739.0,729.82,731.88,1167700,731.88,-0.0017867095217224405,738.9121428571428,740.3298000000001
2016-06-14,2016,6,14,Tuesday,24,2016-24,729.31,736.0,726.5,733.25,1329200,733.25,0.0018718848828325196,738.9278571428571,739.6924
2016-06-15,2016,6,15,Wednesday,24,2016-24,734.92,737.15,731.31,732.19,1161700,732.19,-0.0014456154907518393,738.5057142857144,739.1648
2016-06-16,2016,6,16,Thursday,24,2016-24,727.96,730.39,715.54,724.25,2250100,724.25,-0.010844183087629133,737.6000000000001,738.2883999999999
2016-06-17,2016,6,17,Friday,24,2016-24,721.39,721.39,701.12,704.25,4113100,704.25,-0.02761477390403866,734.5035714285714,737.1709999999999
2016-06-20,2016,6,20,Monday,25,2016-25,710.31,715.87,705.41,706.13,2282700,706.13,0.002669513500621168,731.4521428571428,736.1042
2016-06-21,2016,6,21,Tuesday,25,2016-25,710.05,715.38,704.66,708.88,1515900,708.88,0.003894466997555801,728.625,735.1309999999999
2016-06-22,2016,6,22,Wednesday,25,2016-25,714.05,714.21,705.88,710.47,1452900,710.47,0.0022429266016261717,726.2107142857143,734.054
2016-06-23,2016,6,23,Thursday,25,2016-25,710.55,714.88,700.25,714.87,2125000,714.87,0.0061931180704344335,724.7114285714285,732.9132000000001
2016-06-24,2016,6,24,Friday,25,2016-25,690.17,705.0,684.91,685.2,4771800,685.2,-0.041504026064616784,721.5071428571429,731.1094
2016-06-27,2016,6,27,Monday,26,2016-26,682.49,683.33,672.66,681.14,2907300,681.14,-0.005925273622685023,717.9392857142857,729.1322
2016-06-28,2016,6,28,Tuesday,26,2016-26,691.37,692.74,684.85,691.26,1912300,691.26,0.01485743738372336,714.2485714285714,727.2038
2016-06-29,2016,6,29,Wednesday,26,2016-26,694.26,699.5,692.68,695.19,2156200,695.19,0.005685259700056511,710.8678571428571,725.5826
2016-06-30,2016,6,30,Thursday,26,2016-26,697.65,703.77,694.9,703.53,2112500,703.53,0.011996758909333938,708.7492857142859,724.1548000000001
2016-07-01,2016,7,1,Friday,26,2016-26,705.1,712.53,703.73,710.25,1549200,710.25,0.00955178943795909,707.2042857142858,722.7598000000002
2016-07-05,2016,7,5,Tuesday,27,2016-27,705.01,708.12,699.13,704.89,1422000,704.89,-0.007546617883227746,705.1785714285714,722.1022
2016-07-06,2016,7,6,Wednesday,27,2016-27,699.84,713.0,699.0,708.97,1445100,708.97,0.005788074692365086,703.5200000000001,721.4374
2016-07-07,2016,7,7,Thursday,27,2016-27,710.11,710.17,700.67,707.26,1058700,707.26,-0.0024118947320210804,702.3064285714285,721.0751999999999
2016-07-08,2016,7,8,Friday,27,2016-27,710.56,717.9,708.11,717.78,1497300,717.78,0.014874331060703128,703.2728571428572,721.0015999999999
2016-07-11,2016,7,11,Monday,28,2016-28,719.42,728.93,718.87,727.2,1441100,727.2,0.013123774033367619,704.7778571428571,721.4444
2016-07-12,2016,7,12,Tuesday,28,2016-28,731.92,735.6,727.5,732.51,1323400,732.51,0.007301976718177006,706.4657142857143,721.9370000000001
